model_key,model_family,algorithm,feature_backend,vi_n_samples,vi_val_f1_macro,vi_test_f1_macro,vi_test_accuracy,vi_f1_weighted,vi_precision_macro,vi_recall_macro,vi_negative_f1,vi_non_negative_f1,vi_negative_recall,vi_negative_f2,vi_non_positive_f1,vi_positive_f1,vi_non_positive_recall,vi_non_positive_f2,vi_smoke_passed,vi_threshold,vi_best_strategy,vi_source_run_id,vi_source_model_name,vi_pipeline,en_n_samples,en_val_f1_macro,en_test_f1_macro,en_test_accuracy,en_f1_weighted,en_precision_macro,en_recall_macro,en_negative_f1,en_non_negative_f1,en_negative_recall,en_negative_f2,en_non_positive_f1,en_positive_f1,en_non_positive_recall,en_non_positive_f2,en_smoke_passed,en_threshold,en_best_strategy,en_source_run_id,en_source_model_name,en_pipeline
TFIDF_WordCharCue_LinearSVC,TFIDF_WordCharCue_LinearSVC,TFIDF_WordCharCue_LinearSVC,tfidf_word_char+cues,72100,0.8816,0.8848,0.8849,0.885,0.8854,0.8868,0.8877,0.882,0.8562,0.8685,0.8877,0.882,0.8562,0.8685,False,0.81,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams+vietnamese_cues,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordCharCue_LinearSVC_C0.6,tfidf,838566.0,0.8294,0.829,0.8311,0.8301,0.8354,0.8274,0.8098,0.8481,0.7642,0.7818,0.8098,0.8481,0.7642,0.7818,True,0.82,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams+english_cues,variant_run_glassdoor_en_20260625_013719,glassdoor_en_cleanlab_pruned_negative_vs_non_negative__TFIDF_WordCharCue_LinearSVC_C0.6,tfidf
TFIDF_WordCharCue_LogisticRegression,TFIDF_WordCharCue_LogisticRegression,TFIDF_WordCharCue_LogisticRegression,tfidf_word_char+cues,72100,0.8799,0.8833,0.8833,0.8834,0.8852,0.8861,0.8846,0.882,0.842,0.8585,0.8846,0.882,0.842,0.8585,False,0.81,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams+vietnamese_cues,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordCharCue_LogisticRegression_C2,tfidf,838566.0,0.8329,0.8325,0.8338,0.8334,0.8348,0.8315,0.8179,0.8471,0.7933,0.803,0.8179,0.8471,0.7933,0.803,True,0.82,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams+english_cues,variant_run_glassdoor_en_20260625_013719,glassdoor_en_cleanlab_pruned_negative_vs_non_negative__TFIDF_WordCharCue_LogisticRegression_C2,tfidf
TFIDF_WordChar_ComplementNB,TFIDF_WordChar_ComplementNB,TFIDF_WordChar_ComplementNB,tfidf_word_char,72100,0.8162,0.8122,0.8123,0.812,0.8193,0.8169,0.808,0.8165,0.7436,0.7681,0.808,0.8165,0.7436,0.7681,False,0.95,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_ComplementNB_a0.15,tfidf,838566.0,0.7878,0.7884,0.7889,0.789,0.7882,0.7886,0.7775,0.7992,0.7838,0.7813,0.7775,0.7992,0.7838,0.7813,True,0.94,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_glassdoor_en_20260625_013719,glassdoor_en_cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_ComplementNB_a0.15,tfidf
TFIDF_WordChar_LinearSVC,TFIDF_WordChar_LinearSVC,TFIDF_WordChar_LinearSVC,tfidf_word_char,72100,0.8794,0.8801,0.8802,0.8803,0.8804,0.8819,0.8834,0.8768,0.8543,0.8657,0.8834,0.8768,0.8543,0.8657,False,0.8,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_LinearSVC_C0.6,tfidf,838566.0,0.8293,0.8292,0.8313,0.8303,0.8355,0.8276,0.8101,0.8482,0.7648,0.7823,0.8101,0.8482,0.7648,0.7823,True,0.81,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_glassdoor_en_20260625_013719,glassdoor_en_cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_LinearSVC_C0.6,tfidf
TFIDF_WordChar_LinearSVC_C1_ThresholdTuned_t0.80_VietnameseRuleGuard,TFIDF_WordChar_LinearSVC_RuleGuard,TFIDF_WordChar_LinearSVC_RuleGuard,tfidf_word_char,72100,0.813,0.7991,0.8056,0.8013,0.8251,0.7975,0.8352,0.7629,0.9276,0.8883,0.8352,0.7629,0.9276,0.8883,False,,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_LinearSVC_C1_ThresholdTuned_t0.80_VietnameseRuleGuard,tfidf,,,,,,,,,,,,,,,,,,,,,
TFIDF_WordChar_LogisticRegression,TFIDF_WordChar_LogisticRegression,TFIDF_WordChar_LogisticRegression,tfidf_word_char,72100,0.8804,0.882,0.882,0.8821,0.8831,0.8843,0.8842,0.8799,0.8475,0.8618,0.8842,0.8799,0.8475,0.8618,False,0.77,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_LogisticRegression_C3,tfidf,838566.0,0.8333,0.8329,0.8342,0.8337,0.8353,0.8319,0.8182,0.8476,0.7928,0.8028,0.8182,0.8476,0.7928,0.8028,True,0.78,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_glassdoor_en_20260625_013719,glassdoor_en_cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_LogisticRegression_C0.75,tfidf
TFIDF_WordChar_LogisticRegression_C2_char36,TFIDF_WordChar_LogisticRegression,TFIDF_WordChar_LogisticRegression,tfidf_word_char,72100,0.8785,0.8802,0.8802,0.8803,0.8816,0.8827,0.882,0.8784,0.8427,0.858,0.882,0.8784,0.8427,0.858,False,0.79,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_LogisticRegression_C2_char36,tfidf,838566.0,0.8326,0.8322,0.8334,0.833,0.8345,0.8312,0.8175,0.8468,0.793,0.8026,0.8175,0.8468,0.793,0.8026,True,0.81,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams,variant_run_glassdoor_en_20260625_013719,glassdoor_en_cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_LogisticRegression_C2_char36,tfidf
TFIDF_WordChar_MLP,TFIDF_WordChar_MLP,TFIDF_WordChar_MLP,tfidf_word_char,72100,0.849,0.8536,0.8537,0.8538,0.8541,0.8554,0.8574,0.8498,0.8279,0.8395,0.8574,0.8498,0.8279,0.8395,False,,label_filtered + early_stopping_validation + default_threshold + tfidf_word_char_ngrams,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_MLP,tfidf,838566.0,0.8234,0.822,0.8248,0.8233,0.8311,0.8203,0.7999,0.8442,0.7441,0.7655,0.7999,0.8442,0.7441,0.7655,True,,label_filtered + early_stopping_validation + default_threshold + tfidf_word_char_ngrams,variant_run_glassdoor_en_20260625_013719,glassdoor_en_cleanlab_pruned_negative_vs_non_negative__TFIDF_WordChar_MLP,tfidf
TFIDF_WordChar_MLP_VietnameseRuleGuard,TFIDF_WordChar_MLP_RuleGuard,TFIDF_WordChar_MLP_RuleGuard,tfidf_word_char,72100,0.799,0.7977,0.7982,0.7987,0.7981,0.801,0.8079,0.7876,0.7727,0.7864,0.8079,0.7876,0.7727,0.7864,False,,weak_label_full + early_stopping_validation + default_threshold + tfidf_word_char_ngrams,variant_run_current_20260625_005116,negative_vs_non_negative__TFIDF_WordChar_MLP_VietnameseRuleGuard,tfidf,,,,,,,,,,,,,,,,,,,,,
Custom_VNReviewFusion_LinearSVC,VNReviewFusion_LinearSVC,VNReviewFusion_LinearSVC,field_tfidf+vi_cues+metadata,72100,0.9901,0.9901,0.9901,0.9901,0.9898,0.9904,0.9906,0.9895,0.9862,0.9879,0.9906,0.9895,0.9862,0.9879,False,0.57,label_filtered + class_weight + threshold_tuned + field_tfidf+vi_cues+rating_metadata,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__Custom_VNReviewFusion_LinearSVC_ThresholdTuned_t0.57,tfidf,,,,,,,,,,,,,,,,,,,,,
Custom_VNReviewFusion_LogReg,VNReviewFusion_LogReg,VNReviewFusion_LogReg,field_tfidf+vi_cues+metadata,72100,0.9843,0.9854,0.9855,0.9855,0.9851,0.9859,0.9862,0.9847,0.9786,0.9816,0.9862,0.9847,0.9786,0.9816,False,0.65,label_filtered + class_weight + threshold_tuned + field_tfidf+vi_cues+rating_metadata,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__Custom_VNReviewFusion_LogReg_ThresholdTuned_t0.65,tfidf,,,,,,,,,,,,,,,,,,,,,
Custom_VNReviewFusion_LogReg_Guard,VNReviewFusion_LogReg_Guard,VNReviewFusion_LogReg_Guard,field_tfidf+vi_cues+metadata,72100,0.9843,0.9854,0.9855,0.9855,0.9851,0.9859,0.9862,0.9847,0.9786,0.9816,0.9862,0.9847,0.9786,0.9816,False,0.65,label_filtered + class_weight + threshold_tuned + field_tfidf+vi_cues+rating_metadata,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__Custom_VNReviewFusion_LogReg_Guard_ThresholdTuned_t0.65,tfidf,,,,,,,,,,,,,,,,,,,,,
Custom_VNReviewFusion_NoRating_LogReg,VNReviewFusion_NoRating_LogReg,VNReviewFusion_NoRating_LogReg,field_tfidf+vi_cues+metadata,72100,0.8831,0.8885,0.8885,0.8886,0.8904,0.8913,0.8897,0.8873,0.8466,0.8633,0.8897,0.8873,0.8466,0.8633,False,0.53,label_filtered + class_weight + default_threshold + field_tfidf+vi_cues+rating_metadata,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__Custom_VNReviewFusion_NoRating_LogReg,tfidf,,,,,,,,,,,,,,,,,,,,,
